# q=  0.10000000E-02  0.10000000E-02  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
# q=  0.75000000E+00  0.50000000E+00  0.25000000E+00  (qpt 58)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94551224E-02      0.00000000E+00     -0.26046200E-04      0.00000000E+00
       2     -0.15817845E-01      0.00000000E+00     -0.48055028E-04      0.00000000E+00
       3     -0.21402737E-01      0.00000000E+00     -0.78584937E-04      0.00000000E+00
       4     -0.25331085E-01      0.00000000E+00     -0.99586717E-04      0.00000000E+00

# q=  0.75000000E+00  0.50000000E+00  0.50000000E+00  (qpt 59)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88446834E-02      0.00000000E+00     -0.20007608E-04      0.00000000E+00
       2     -0.15071147E-01      0.00000000E+00     -0.35223249E-04      0.00000000E+00
       3     -0.20994424E-01      0.00000000E+00     -0.50796900E-04      0.00000000E+00
       4     -0.24579276E-01      0.00000000E+00     -0.66511668E-04      0.00000000E+00

# q=  0.75000000E+00  0.50000000E+00  0.75000000E+00  (qpt 60)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94796204E-02      0.00000000E+00     -0.10471432E-04      0.00000000E+00
       2     -0.14755224E-01      0.00000000E+00     -0.19118224E-04      0.00000000E+00
       3     -0.20101481E-01      0.00000000E+00     -0.28207929E-04      0.00000000E+00
       4     -0.23184793E-01      0.00000000E+00     -0.39761628E-04      0.00000000E+00

# q=  0.75000000E+00  0.75000000E+00  0.00000000E+00  (qpt 61)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76515822E-02      0.00000000E+00     -0.15224405E-04      0.00000000E+00
       2     -0.12460740E-01      0.00000000E+00     -0.26013987E-04      0.00000000E+00
       3     -0.16366791E-01      0.00000000E+00     -0.35680034E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.47802047E-04      0.00000000E+00

# q=  0.75000000E+00  0.75000000E+00  0.25000000E+00  (qpt 62)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91228534E-02      0.00000000E+00     -0.21655235E-04      0.00000000E+00
       2     -0.15882853E-01      0.00000000E+00     -0.41614141E-04      0.00000000E+00
       3     -0.20877570E-01      0.00000000E+00     -0.69458941E-04      0.00000000E+00
       4     -0.24579273E-01      0.00000000E+00     -0.87173194E-04      0.00000000E+00

# q=  0.75000000E+00  0.75000000E+00  0.50000000E+00  (qpt 63)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.93710509E-02      0.00000000E+00     -0.10211901E-04      0.00000000E+00
       2     -0.15069326E-01      0.00000000E+00     -0.18898228E-04      0.00000000E+00
       3     -0.19957165E-01      0.00000000E+00     -0.28245567E-04      0.00000000E+00
       4     -0.23184790E-01      0.00000000E+00     -0.39761726E-04      0.00000000E+00

# q=  0.75000000E+00  0.75000000E+00  0.75000000E+00  (qpt 64)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.63614019E-02      0.00000000E+00     -0.22130168E-04      0.00000000E+00
       2     -0.99907203E-02      0.00000000E+00     -0.41762913E-04      0.00000000E+00
       3     -0.12734995E-01      0.00000000E+00     -0.64326791E-04      0.00000000E+00
       4     -0.14486189E-01      0.00000000E+00     -0.82177635E-04      0.00000000E+00

